,Unnamed: 0,Operateur,X,Y,2G,3G,4G
41006,41006,SFR,694103.0,6181516.0,1,1,1
41007,41007,Bouygue,694103.0,6292728.0,1,1,0
41008,41008,Free,694103.0,6292728.0,0,1,0
41009,41009,SFR,694103.0,6292728.0,1,1,0
41010,41010,Orange,694104.0,6292727.0,0,1,0
41011,41011,Bouygue,694112.0,6710390.0,1,1,1
41012,41012,SFR,694112.0,6710390.0,1,1,0
41013,41013,Free,694113.0,6710390.0,0,1,1
41014,41014,Bouygue,694140.0,6181503.0,1,1,1
41015,41015,Free,694142.0,7046168.0,0,1,0
41016,41016,Orange,694144.0,7046169.0,1,1,1
41017,41017,Orange,694165.0,6935721.0,1,1,1
41018,41018,SFR,694182.0,6935725.0,1,1,1
41019,41019,Bouygue,694184.0,6935726.0,1,1,1
41020,41020,Free,694185.0,6935727.0,0,1,1
41021,41021,Orange,694191.0,6801366.0,0,1,1
41022,41022,Orange,694191.0,6872422.0,1,1,1
41023,41023,Orange,694204.0,6980268.0,0,1,0
41024,41024,Orange,694207.0,7035571.0,0,1,1
41025,41025,Bouygue,694208.0,6828196.0,1,1,1
41026,41026,Free,694208.0,6828196.0,0,1,1
41027,41027,SFR,694208.0,6828196.0,1,1,1
41028,41028,Bouygue,694234.0,7035584.0,1,1,1
41029,41029,Free,694235.0,7035585.0,0,1,1
41030,41030,SFR,694239.0,6774014.0,1,1,0
41031,41031,Free,694289.0,6701991.0,0,1,1
41032,41032,Free,694290.0,6169555.0,0,1,1
41033,41033,SFR,694306.0,6439599.0,1,1,0
41034,41034,SFR,694309.0,6169553.0,1,1,1
41035,41035,Orange,694314.0,6439592.0,1,1,0
41036,41036,Bouygue,694317.0,6490154.0,1,1,1
41037,41037,SFR,694317.0,6490154.0,1,1,1
41038,41038,Bouygue,694318.0,6169544.0,1,1,1
41039,41039,Free,694324.0,6490163.0,0,1,0
41040,41040,Orange,694340.0,6637251.0,1,1,1
41041,41041,Orange,694340.0,7038850.0,0,1,1
41042,41042,Orange,694370.0,6175413.0,1,1,1
41043,41043,Orange,694372.0,6992285.0,1,1,1
41044,41044,Free,694379.0,6175473.0,0,1,1
41045,41045,Bouygue,694380.0,6175414.0,1,1,1
41046,41046,Free,694381.0,6992274.0,0,1,1
41047,41047,SFR,694387.0,6175398.0,1,1,1
41048,41048,Orange,694405.0,6698853.0,1,1,1
41049,41049,Free,694405.0,6698854.0,0,1,1
41050,41050,SFR,694430.0,6992358.0,1,1,0
41051,41051,SFR,694446.0,6418681.0,1,1,0
41052,41052,Orange,694447.0,6418681.0,1,1,0
41053,41053,Free,694447.0,6418682.0,0,1,0
41054,41054,Orange,694464.0,6179550.0,1,1,1
41055,41055,Bouygue,694478.0,6530884.0,1,1,1
41056,41056,SFR,694478.0,6530884.0,1,1,1
41057,41057,Free,694478.0,6530885.0,0,1,1
41058,41058,Free,694557.0,6987203.0,0,1,1
41059,41059,Bouygue,694561.0,6535148.0,1,1,0
41060,41060,Free,694561.0,6535148.0,0,1,0
41061,41061,Orange,694561.0,6535148.0,1,1,0
41062,41062,Free,694570.0,6179640.0,0,1,1
41063,41063,SFR,694571.0,6535150.0,1,1,0
41064,41064,SFR,694609.0,6699997.0,1,1,1
41065,41065,Bouygue,694614.0,6699983.0,1,1,1
41066,41066,SFR,694615.0,6987201.0,1,1,0
41067,41067,Bouygue,694616.0,6987214.0,1,1,0
41068,41068,Orange,694618.0,6987203.0,1,1,0
41069,41069,Orange,694648.0,7022729.0,1,1,0
41070,41070,Orange,694661.0,6813894.0,1,1,1
